,mean,ci_95
Reference,0.09535600021481513,0.011193922684995326
Teacher,0.943296000957489,0.0008404178675805601
Student (aux. only),0.51785600066185,0.03598263666199675
Student (all logits),0.9114160060882568,0.0036261967673125
Cross-model (aux. only),0.11569999977946281,0.03212726067824298
Cross-model (all logits),0.7530519938468934,0.022321789453497505
